cap,subset,scheme,ov,IS_sh,IS_dd,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst
CAP8,NOHO,EQ,False,1.2765600654528098,-0.1696363692745353,0.5645902668109317,0.06233092173889232,-0.2592624649781864,0.11974761586970209,-0.07888910673834927
CAP8,NOHO,EQ,True,0.11656451676480238,-0.12066427988506101,0.4170525725126915,0.01997544808161522,-0.13782651490213915,0.05044672841405104,-0.021710571897645525
CAP8,NOHO,HLV,False,1.3632366617133045,-0.13776240209187163,0.5379624619069551,0.05343634201223524,-0.22237691548979432,0.10747517973815329,-0.07791513023271682
CAP8,NOHO,HLV,True,1.5371914103844055,-0.09662719524235175,0.4426854689333543,0.02002276334877573,-0.12231176294793344,0.04729163292325687,-0.020611131006178986
CAP8,NOHO,INV,False,1.4315044147897744,-0.10758595461777354,0.4831855918346054,0.04463440287229847,-0.21510610589405044,0.10088154604459205,-0.07593148519230292
CAP8,NOHO,INV,True,1.6290047577055011,-0.0807055724868444,0.19438673266027273,0.006656591082419672,-0.14380126163670115,0.03779103304535462,-0.019745726174882645
CAP8,CORE3,EQ,False,1.1583921419163943,-0.17764856371341609,0.5893603438070234,0.0744053987534401,-0.2732303542123746,0.13782230982280405,-0.10518547565113236
CAP8,CORE3,EQ,True,-0.5530560173244405,-0.14583210090935417,0.6228234416202288,0.03388538627059967,-0.11960038781068427,0.055987759356338575,-0.026408606989415398
CAP8,CORE3,HLV,False,1.2589366301515796,-0.127838279588241,0.5404978527403512,0.05979728539856777,-0.24251593458445408,0.12093857987996628,-0.09684993585507048
CAP8,CORE3,HLV,True,1.4427370513764914,-0.09816774657316041,0.6215505544180696,0.03069164252233003,-0.10477041014908883,0.050683156730295505,-0.027416414555812927
CAP8,CORE3,INV,False,1.3268087945380023,-0.09555956688600709,0.4687689200797247,0.04728974183308754,-0.2398914238800891,0.1118987588750915,-0.0887413758233116
CAP8,CORE3,INV,True,1.4604072020804277,-0.07922983579349452,0.4837928168604254,0.020985585501323678,-0.10355016068129674,0.045002211668378825,-0.03141917766781818
CAP8,CORE2,EQ,False,0.9710383478573876,-0.24943906905119395,0.6060700584626315,0.10901081501687093,-0.403779879955236,0.2047277195581673,-0.15777821347669854
CAP8,CORE2,EQ,True,0.15442566045317568,-0.11502479737306404,0.6498601217554352,0.03969053785131127,-0.10879817653158286,0.06292244860046096,-0.0396129104841231
CAP8,CORE2,HLV,False,1.0073577757736716,-0.21071783344733563,0.5890316296575694,0.09959780616946334,-0.3858318211185062,0.19219170486841522,-0.16318704184466964
CAP8,CORE2,HLV,True,0.4842297847996733,-0.11183288280140469,0.46603990557053754,0.02585932605906205,-0.13268837895855268,0.05841526968213443,-0.03396999773646191
CAP8,CORE2,INV,False,1.0238665946048273,-0.1854672682787586,0.5588435539207561,0.09024039667264261,-0.3697108736445902,0.18495110262228595,-0.16808640283874518
CAP8,CORE2,INV,True,0.7520024248351295,-0.10047465842218362,0.5068492150089146,0.030509981662239172,-0.11012636755645022,0.06317707741651622,-0.0422845104538202
CAP5,FULL,EQ,False,1.1769479979871071,-0.16797252774123772,0.41373365355250374,0.034737028505279044,-0.2898687062765585,0.09295267768143024,-0.05205606843209752
CAP5,FULL,EQ,True,0.8132899757913945,-0.10726034109794669,0.28271190966259857,0.010226050926027463,-0.11862059078935738,0.038617438659380006,-0.025974298957600055
CAP5,FULL,HLV,False,1.2221148119175027,-0.15652484248298104,0.4036987087331387,0.03258797870500363,-0.272915244435586,0.08928822774244112,-0.054201872014295334
