Date,prob,prob_scaled,raw,joint
2020-06-22,0.009807036554540703,0.14067343747474528,0.0,0
2020-06-23,0.008450981980999292,0.11814994082342693,0.0,0
2020-06-24,0.004384669092920603,0.05061019242033219,-4.5987597518817084e-05,0
2020-06-25,0.0035940267323143066,0.03747795503920697,-0.004999164795434525,0
2020-06-26,0.0035298307907027436,0.03641168742422437,-5.592892908096769e-05,0
2020-06-29,0.008695748890374036,0.1222154163368925,0.00013626388607142816,0
2020-06-30,0.02033337022000277,0.315511416484337,0.010619505380141545,0
2020-07-01,0.023268242146780437,0.3642584059526088,0.00492169144723855,0
2020-07-02,0.0027646957169910093,0.023703115360235696,0.0,0
2020-07-06,0.008193167938133435,0.11386775790508981,0.0,0
2020-07-07,0.019588412258976506,0.3031379777836153,0.0,0
2020-07-08,0.004954646220096703,0.06007727299788748,0.0,0
2020-07-09,0.0025165591867515077,0.019581671860123873,0.0,0
2020-07-10,0.00620806031931609,0.08089595450032547,0.0,0
2020-07-13,0.0022558717213108613,0.015251762600233934,0.0,0
2020-07-14,0.002326093627480524,0.01641811895441151,0.0,0
2020-07-15,0.0023675941605352433,0.017107425369893577,0.0,0
2020-07-16,0.007389554554156989,0.1005200772762207,0.0,0
2020-07-17,0.01134700031677867,0.16625158847152682,0.0,0
2020-07-20,0.00601511263136547,0.07769117448023678,0.0,0
2020-07-21,0.007775416575518101,0.10692908331150215,0.0,0
2020-07-22,0.009294491855620741,0.13216028539737265,0.0,0
2020-07-23,0.015301473665603202,0.23193372912267288,0.0,0
2020-07-24,0.009187187794617408,0.13037801003335858,0.0,0
2020-07-27,0.009835342069681535,0.14114358018723464,0.0,0
2020-07-28,0.004185269860856348,0.04729825496345996,0.0,0
2020-07-29,0.005542794554736536,0.06984616969585963,0.0,0
2020-07-30,0.004966435183216321,0.06027308272157271,0.0,0
2020-07-31,0.006593421786708986,0.08729664654452804,0.0,0
2020-08-03,0.007076239372340227,0.09531604376153154,0.0,0
2020-08-04,0.006329931842363333,0.0829201892876298,0.0,0
