depth_scaled,volcap,subset,gate,overlay,IS_sh,IS_dd,IS_cagr,IS_vol,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst,max_corr
False,False,CORE3,UT_GATE,V2_PERC,0.7905702184455345,-0.10753230340592923,0.04584177584007443,0.058879954887007965,0.8786478856397136,0.07024028379386293,-0.15578684360679995,0.0809556443660818,-0.061732097686572264,
False,False,CORE3,UT_GATE,JOINT_PERC,0.7905702184455345,-0.10753230340592923,0.04584177584007443,0.058879954887007965,0.8654252229083614,0.0694935049865475,-0.15257963337736324,0.08143167949753331,-0.061732097686572264,
False,False,CORE3B6,NONE,OFF,1.1631454257903582,-0.2716911203787059,0.24385591511786764,0.20553780705123167,0.7702289567733257,0.12988430139993157,-0.31389834984521847,0.1791610607483509,-0.09712424343113618,0.3376920329597893
False,False,CORE3B6,NONE,V2_BOOK,0.5352318552708971,-0.10578201098165163,0.03315258160212764,0.0648436101457506,0.6177789860370921,0.039043763801186904,-0.15780165546746516,0.06542820512128603,-0.03769393334738834,
False,False,CORE3B6,NONE,V2_PERC,0.5343258347061497,-0.19890855898844562,0.04636447209427108,0.09286681422369653,0.695353207030868,0.05640304709650845,-0.2058792151200678,0.08392791994971027,-0.042490209130301236,
False,False,CORE3B6,NONE,JOINT_PERC,0.4917403838451678,-0.19890855898844562,0.04145874010724149,0.0910059078889807,0.7171918676272575,0.06853253954465721,-0.17357881131505082,0.09925018752310649,-0.042490209130301236,
False,False,CORE3B6,PROD_SIZE,OFF,1.179927611091594,-0.26708767545377465,0.24676258117981087,0.20439564977791078,0.7286306914655067,0.10893242941334425,-0.30477052377346525,0.15921743481926753,-0.09503455829060592,0.30937940009125686
False,False,CORE3B6,PROD_SIZE,V2_BOOK,0.5998815967721735,-0.10539437604643165,0.03748799193112484,0.06483696994258245,0.6622064332481331,0.04142551638128911,-0.13912176296551615,0.06439562180106953,-0.04627365459929901,
False,False,CORE3B6,PROD_SIZE,V2_PERC,0.7541788453703198,-0.19693254464859244,0.07186227039596682,0.09841715768590617,0.770722530125378,0.059739180482734966,-0.16696408262354456,0.07934713150987428,-0.042490209130301236,
False,False,CORE3B6,PROD_SIZE,JOINT_PERC,0.7443270671865289,-0.19693254464859244,0.07014167536715576,0.09743160077539165,0.72058510043656,0.06038709129899367,-0.17444848338116148,0.08654706449202698,-0.042490209130301236,
False,False,CORE3B6,UT_GATE,OFF,0.5026627983652626,-0.3496348482501137,0.072827041601083,0.16710487171447058,0.9050960221607165,0.12194429542119645,-0.20916948164679094,0.13739211072655105,-0.09712424343113618,0.3195416477811277
