tbar,stor,zcut,train_t
2.5,1.0,-0.90625,2.7627325078122453
2.5,1.25,-0.90625,2.784242249012793
2.5,1.5,-0.90625,2.8396549698078135
2.5,1.75,-0.90625,2.5610527349926326
2.5,2.0,-0.90625,2.5092360077992226
2.5,2.25,-0.90625,2.4721096609271065
2.5,2.5,-0.90625,2.5404204598262248
2.5,3.0,-0.90625,2.572664510155156
2.75,,-0.90625,2.590531934556966
2.75,0.25,-0.90625,2.025459416770798
2.75,0.5,-0.90625,2.5361979965368446
2.75,0.75,-0.90625,2.7755276280473535
2.75,1.0,-0.90625,2.7627325078122453
2.75,1.25,-0.90625,2.784242249012793
2.75,1.5,-0.90625,2.8396549698078135
2.75,1.75,-0.90625,2.5610527349926326
2.75,2.0,-0.90625,2.5092360077992226
2.75,2.25,-0.90625,2.4721096609271065
2.75,2.5,-0.90625,2.5404204598262248
2.75,3.0,-0.90625,2.572664510155156
3.0,,-0.90625,2.590531934556966
3.0,0.25,-0.90625,2.025459416770798
3.0,0.5,-0.90625,2.5361979965368446
3.0,0.75,-0.90625,2.7755276280473535
3.0,1.0,-0.90625,2.7627325078122453
3.0,1.25,-0.90625,2.784242249012793
3.0,1.5,-0.90625,2.8396549698078135
3.0,1.75,-0.90625,2.5610527349926326
3.0,2.0,-0.90625,2.5092360077992226
3.0,2.25,-0.90625,2.4721096609271065
3.0,2.5,-0.90625,2.5404204598262248
3.0,3.0,-0.90625,2.572664510155156
