t,cb,budget,trail,cool,zcut,entries,train_t
1.5,0.999,0.075,0.75,0,-0.4479166666666665,858,3.1689555587992686
1.5,0.99,0.05,0.75,3,-0.4479166666666665,858,3.1409999278028673
1.5,0.995,0.05,0.75,3,-0.4479166666666665,858,3.1409999278028673
1.5,0.999,0.05,0.75,3,-0.4479166666666665,858,3.1409999278028673
1.5,0.99,0.02,0.85,0,-0.4479166666666665,858,3.001917667519818
1.5,0.995,0.02,0.85,0,-0.4479166666666665,858,3.001917667519818
1.5,0.999,0.02,0.85,0,-0.4479166666666665,858,3.001917667519818
1.5,0.99,0.05,0.85,5,-0.4479166666666665,858,2.9827344813933787
1.5,0.995,0.05,0.85,5,-0.4479166666666665,858,2.9827344813933787
1.5,0.999,0.05,0.85,5,-0.4479166666666665,858,2.9827344813933787
1.5,0.99,0.075,0.75,5,-0.4479166666666665,858,2.8243884403728914
1.5,0.995,0.075,0.75,5,-0.4479166666666665,858,2.8243884403728914
1.5,0.999,0.075,0.75,5,-0.4479166666666665,858,2.8243884403728914
1.5,0.99,0.02,0.75,0,-0.4479166666666665,858,2.7994543950958026
1.5,0.995,0.02,0.75,0,-0.4479166666666665,858,2.7994543950958026
1.5,0.999,0.02,0.75,0,-0.4479166666666665,858,2.7994543950958026
1.5,0.99,0.05,0.65,5,-0.4479166666666665,858,2.757507642028657
1.5,0.99,0.075,0.65,5,-0.4479166666666665,858,2.757507642028657
1.5,0.995,0.05,0.65,5,-0.4479166666666665,858,2.757507642028657
1.5,0.995,0.075,0.65,5,-0.4479166666666665,858,2.757507642028657
1.5,0.999,0.05,0.65,5,-0.4479166666666665,858,2.757507642028657
1.5,0.999,0.075,0.65,5,-0.4479166666666665,858,2.757507642028657
1.5,0.99,0.05,0.75,5,-0.4479166666666665,858,2.7530048795821562
1.5,0.995,0.05,0.75,5,-0.4479166666666665,858,2.7530048795821562
1.5,0.999,0.05,0.75,5,-0.4479166666666665,858,2.7530048795821562
1.5,0.99,0.02,0.65,0,-0.4479166666666665,858,2.6777724275530095
1.5,0.995,0.02,0.65,0,-0.4479166666666665,858,2.6777724275530095
1.5,0.999,0.02,0.65,0,-0.4479166666666665,858,2.6777724275530095
2.0,0.99,0.05,0.75,3,-0.90625,586,2.6635688568526468
2.0,0.99,0.075,0.75,3,-0.90625,586,2.6635688568526468
2.0,0.995,0.05,0.75,3,-0.90625,586,2.6635688568526468
2.0,0.995,0.075,0.75,3,-0.90625,586,2.6635688568526468
2.0,0.999,0.05,0.75,3,-0.90625,586,2.6635688568526468
2.0,0.999,0.075,0.75,3,-0.90625,586,2.6635688568526468
2.5,0.99,0.05,0.75,3,-0.90625,586,2.6635688568526468
2.5,0.99,0.075,0.75,3,-0.90625,586,2.6635688568526468
2.5,0.995,0.05,0.75,3,-0.90625,586,2.6635688568526468
2.5,0.995,0.075,0.75,3,-0.90625,586,2.6635688568526468
2.5,0.999,0.05,0.75,3,-0.90625,586,2.6635688568526468
2.5,0.999,0.075,0.75,3,-0.90625,586,2.6635688568526468
2.0,0.99,0.05,0.75,0,-0.90625,586,2.470414069459937
2.0,0.995,0.05,0.75,0,-0.90625,586,2.470414069459937
2.0,0.999,0.05,0.75,0,-0.90625,586,2.470414069459937
2.5,0.99,0.05,0.75,0,-0.90625,586,2.470414069459937
2.5,0.995,0.05,0.75,0,-0.90625,586,2.470414069459937
2.5,0.999,0.05,0.75,0,-0.90625,586,2.470414069459937
2.0,0.99,0.05,0.85,0,-0.90625,586,2.4357450495248543
2.0,0.995,0.05,0.85,0,-0.90625,586,2.4357450495248543
2.0,0.999,0.05,0.85,0,-0.90625,586,2.4357450495248543
2.5,0.99,0.05,0.85,0,-0.90625,586,2.4357450495248543
2.5,0.995,0.05,0.85,0,-0.90625,586,2.4357450495248543
2.5,0.999,0.05,0.85,0,-0.90625,586,2.4357450495248543
2.0,0.99,0.075,0.85,0,-0.90625,586,2.4144240959592422
2.0,0.995,0.075,0.85,0,-0.90625,586,2.4144240959592422
2.0,0.999,0.075,0.85,0,-0.90625,586,2.4144240959592422
2.5,0.99,0.075,0.85,0,-0.90625,586,2.4144240959592422
2.5,0.995,0.075,0.85,0,-0.90625,586,2.4144240959592422
2.5,0.999,0.075,0.85,0,-0.90625,586,2.4144240959592422
2.0,0.99,0.075,0.75,0,-0.90625,586,2.4025018579082125
2.0,0.995,0.075,0.75,0,-0.90625,586,2.4025018579082125
2.0,0.999,0.075,0.75,0,-0.90625,586,2.4025018579082125
2.5,0.99,0.075,0.75,0,-0.90625,586,2.4025018579082125
2.5,0.995,0.075,0.75,0,-0.90625,586,2.4025018579082125
2.5,0.999,0.075,0.75,0,-0.90625,586,2.4025018579082125
2.0,0.99,0.05,0.85,3,-0.90625,586,2.334262609100213
2.0,0.995,0.05,0.85,3,-0.90625,586,2.334262609100213
2.0,0.999,0.05,0.85,3,-0.90625,586,2.334262609100213
2.5,0.99,0.05,0.85,3,-0.90625,586,2.334262609100213
2.5,0.995,0.05,0.85,3,-0.90625,586,2.334262609100213
2.5,0.999,0.05,0.85,3,-0.90625,586,2.334262609100213
2.0,0.99,0.075,0.85,3,-0.90625,586,2.319529845785262
2.0,0.995,0.075,0.85,3,-0.90625,586,2.319529845785262
