tbar,stor,zcut,trail,cb,cool,scale,train_t
1.25,1.5,-0.4479166666666665,0.5,0.95,3,0.46650018315663344,1.383231089778993
1.25,1.5,-0.4479166666666665,0.5,0.95,4,0.46650018315663344,2.02871526947772
1.25,1.5,-0.4479166666666665,0.5,0.95,5,0.46650018315663344,2.0334455582985367
1.25,1.5,-0.4479166666666665,0.5,0.95,7,0.46650018315663344,-0.6732961883927877
1.25,1.5,-0.4479166666666665,0.5,0.95,10,0.46650018315663344,1.2215999267941577
1.25,1.5,-0.4479166666666665,0.5,0.95,13,0.46650018315663344,2.3417435058535774
1.25,1.5,-0.4479166666666665,0.5,0.99,0,0.46650018315663344,2.186848793210214
1.25,1.5,-0.4479166666666665,0.5,0.99,1,0.46650018315663344,1.8588655718956821
1.25,1.5,-0.4479166666666665,0.5,0.99,2,0.46650018315663344,1.0701060073397999
1.25,1.5,-0.4479166666666665,0.5,0.99,3,0.46650018315663344,1.383231089778993
1.25,1.5,-0.4479166666666665,0.5,0.99,4,0.46650018315663344,2.02871526947772
1.25,1.5,-0.4479166666666665,0.5,0.99,5,0.46650018315663344,2.0334455582985367
1.25,1.5,-0.4479166666666665,0.5,0.99,7,0.46650018315663344,-0.6732961883927877
1.25,1.5,-0.4479166666666665,0.5,0.99,10,0.46650018315663344,1.2215999267941577
1.25,1.5,-0.4479166666666665,0.5,0.99,13,0.46650018315663344,2.3417435058535774
1.25,1.5,-0.4479166666666665,0.5,0.995,0,0.46650018315663344,2.186848793210214
1.25,1.5,-0.4479166666666665,0.5,0.995,1,0.46650018315663344,1.8588655718956821
1.25,1.5,-0.4479166666666665,0.5,0.995,2,0.46650018315663344,1.0701060073397999
1.25,1.5,-0.4479166666666665,0.5,0.995,3,0.46650018315663344,1.383231089778993
1.25,1.5,-0.4479166666666665,0.5,0.995,4,0.46650018315663344,2.02871526947772
1.25,1.5,-0.4479166666666665,0.5,0.995,5,0.46650018315663344,2.0334455582985367
1.25,1.5,-0.4479166666666665,0.5,0.995,7,0.46650018315663344,-0.6732961883927877
1.25,1.5,-0.4479166666666665,0.5,0.995,10,0.46650018315663344,1.2215999267941577
1.25,1.5,-0.4479166666666665,0.5,0.995,13,0.46650018315663344,2.3417435058535774
1.25,1.5,-0.4479166666666665,0.5,0.999,0,0.46650018315663344,2.186848793210214
1.25,1.5,-0.4479166666666665,0.5,0.999,1,0.46650018315663344,1.8588655718956821
1.25,1.5,-0.4479166666666665,0.5,0.999,2,0.46650018315663344,1.0701060073397999
1.25,1.5,-0.4479166666666665,0.5,0.999,3,0.46650018315663344,1.383231089778993
1.25,1.5,-0.4479166666666665,0.5,0.999,4,0.46650018315663344,2.02871526947772
1.25,1.5,-0.4479166666666665,0.5,0.999,5,0.46650018315663344,2.0334455582985367
1.25,1.5,-0.4479166666666665,0.5,0.999,7,0.46650018315663344,-0.6732961883927877
1.25,1.5,-0.4479166666666665,0.5,0.999,10,0.46650018315663344,1.2215999267941577
1.25,1.5,-0.4479166666666665,0.5,0.999,13,0.46650018315663344,2.3417435058535774
1.25,1.5,-0.4479166666666665,0.55,0.5,0,0.46650018315663344,2.7214210359124054
1.25,1.5,-0.4479166666666665,0.55,0.5,1,0.46650018315663344,2.6963515781570933
1.25,1.5,-0.4479166666666665,0.55,0.5,2,0.46650018315663344,1.9033543086979794
1.25,1.5,-0.4479166666666665,0.55,0.5,3,0.46650018315663344,2.0124646148422953
1.25,1.5,-0.4479166666666665,0.55,0.5,4,0.46650018315663344,2.229791150361929
1.25,1.5,-0.4479166666666665,0.55,0.5,5,0.46650018315663344,2.0976382815978294
1.25,1.5,-0.4479166666666665,0.55,0.5,7,0.46650018315663344,0.032233529767338114
1.25,1.5,-0.4479166666666665,0.55,0.5,10,0.46650018315663344,1.7228941637418642
1.25,1.5,-0.4479166666666665,0.55,0.5,13,0.46650018315663344,2.4781346958339525
1.25,1.5,-0.4479166666666665,0.55,0.75,0,0.46650018315663344,2.7214210359124054
1.25,1.5,-0.4479166666666665,0.55,0.75,1,0.46650018315663344,2.6963515781570933
1.25,1.5,-0.4479166666666665,0.55,0.75,2,0.46650018315663344,1.9033543086979794
1.25,1.5,-0.4479166666666665,0.55,0.75,3,0.46650018315663344,2.0124646148422953
1.25,1.5,-0.4479166666666665,0.55,0.75,4,0.46650018315663344,2.229791150361929
1.25,1.5,-0.4479166666666665,0.55,0.75,5,0.46650018315663344,2.0976382815978294
1.25,1.5,-0.4479166666666665,0.55,0.75,7,0.46650018315663344,0.032233529767338114
1.25,1.5,-0.4479166666666665,0.55,0.75,10,0.46650018315663344,1.7228941637418642
1.25,1.5,-0.4479166666666665,0.55,0.75,13,0.46650018315663344,2.4781346958339525
1.25,1.5,-0.4479166666666665,0.55,0.9,0,0.46650018315663344,2.7214210359124054
1.25,1.5,-0.4479166666666665,0.55,0.9,1,0.46650018315663344,2.6963515781570933
1.25,1.5,-0.4479166666666665,0.55,0.9,2,0.46650018315663344,1.9033543086979794
1.25,1.5,-0.4479166666666665,0.55,0.9,3,0.46650018315663344,2.0124646148422953
1.25,1.5,-0.4479166666666665,0.55,0.9,4,0.46650018315663344,2.229791150361929
1.25,1.5,-0.4479166666666665,0.55,0.9,5,0.46650018315663344,2.0976382815978294
1.25,1.5,-0.4479166666666665,0.55,0.9,7,0.46650018315663344,0.032233529767338114
1.25,1.5,-0.4479166666666665,0.55,0.9,10,0.46650018315663344,1.7228941637418642
1.25,1.5,-0.4479166666666665,0.55,0.9,13,0.46650018315663344,2.4781346958339525
1.25,1.5,-0.4479166666666665,0.55,0.95,0,0.46650018315663344,2.7214210359124054
1.25,1.5,-0.4479166666666665,0.55,0.95,1,0.46650018315663344,2.6963515781570933
1.25,1.5,-0.4479166666666665,0.55,0.95,2,0.46650018315663344,1.9033543086979794
1.25,1.5,-0.4479166666666665,0.55,0.95,3,0.46650018315663344,2.0124646148422953
1.25,1.5,-0.4479166666666665,0.55,0.95,4,0.46650018315663344,2.229791150361929
1.25,1.5,-0.4479166666666665,0.55,0.95,5,0.46650018315663344,2.0976382815978294
1.25,1.5,-0.4479166666666665,0.55,0.95,7,0.46650018315663344,0.032233529767338114
1.25,1.5,-0.4479166666666665,0.55,0.95,10,0.46650018315663344,1.7228941637418642
1.25,1.5,-0.4479166666666665,0.55,0.95,13,0.46650018315663344,2.4781346958339525
1.25,1.5,-0.4479166666666665,0.55,0.99,0,0.46650018315663344,2.7214210359124054
1.25,1.5,-0.4479166666666665,0.55,0.99,1,0.46650018315663344,2.6963515781570933
1.25,1.5,-0.4479166666666665,0.55,0.99,2,0.46650018315663344,1.9033543086979794
1.25,1.5,-0.4479166666666665,0.55,0.99,3,0.46650018315663344,2.0124646148422953
1.25,1.5,-0.4479166666666665,0.55,0.99,4,0.46650018315663344,2.229791150361929
1.25,1.5,-0.4479166666666665,0.55,0.99,5,0.46650018315663344,2.0976382815978294
1.25,1.5,-0.4479166666666665,0.55,0.99,7,0.46650018315663344,0.032233529767338114
